"lang"
{
	"Language"		"russian"
	"Tokens"
	{
		// Variables
		//"dota_ability_variable_health"				"к здоровью"					// $health
		//"dota_ability_variable_mana"				"к мане"						// $mana
		//"dota_ability_variable_armor"				"к броне"						// $armor
		//"dota_ability_variable_damage"				"к урону"					// $damage
		//"dota_ability_variable_str"					"к силе"					// $str
		//"dota_ability_variable_int"					"к интеллекту"				// $int
		//"dota_ability_variable_agi"					"к ловкости"					// $agi
		//"dota_ability_variable_all"					"ко всем атрибутам"			// $all
		//"dota_ability_variable_primary_attribute"	"к основному атрибуту"			// $primary_attribute
		//"dota_ability_variable_attack"				"к скорости атаки"				// $attack
		//"dota_ability_variable_hp_regen"			"к восстановлению здоровья"		// $hp_regen
		//"dota_ability_variable_lifesteal"			"к вампиризму"					// $lifesteal
		//"dota_ability_variable_mana_regen"			"к восстановлению маны"			// $mana_regen
		//"dota_ability_variable_mana_regen_aura"		"к восстановлению маны в ауре"	// $mana_regen_aura
		//"dota_ability_variable_spell_amp"			"к урону от заклинаний"				// $spell_amp
		//"dota_ability_variable_debuff_amp"			"к длительности отрицательных эффектов"			// $debuff_amp
		//"dota_ability_variable_move_speed"			"к скорости передвижения"			// $move_speed
		//"dota_ability_variable_evasion"				"к уклонению"					// $evasion
		//"dota_ability_variable_spell_resist"		"к сопротивлению магии"			// $spell_resist
		//"dota_ability_variable_spell_lifesteal"		"к вампиризму заклинаниями"			// $spell_lifesteal
		//"dota_ability_variable_spell_lifesteal_creep"	"к вампиризму заклинаниями (от крипов)"	// $spell_lifesteal_creep
		//"dota_ability_variable_spell_lifesteal_hero"	"к вампиризму заклинаниями (от героев)"	// $spell_lifesteal_hero
		//"dota_ability_variable_selected_attrib"		"к выбранному атрибуту"		// $selected_attribute
		//"dota_ability_variable_attack_range"		"к дальности атаки <font color='#7d7d7d'>(в дальнем бою)</font>"	// $attack_range
		//"dota_ability_variable_attack_range_melee"	"к дальности атаки <font color='#7d7d7d'>(в ближнем бою)</font>"	// $attack_range_melee
		//"dota_ability_variable_cast_range"			"к дальности применения заклинаний"				// $cast_range
		//"dota_ability_variable_status_resist"		"к сопротивлению эффектам"			// $status_resist
		//"dota_ability_variable_projectile_speed"	"к скорости снарядов"			// $projectile_speed
		//"dota_ability_variable_manacost_reduction"	"к уменьшению расхода маны"		// $manacost_reduction
		//"dota_ability_variable_cooldown_reduction"	"к уменьшению перезарядок заклинаний"		// $cooldown_reduction
		//"dota_ability_variable_max_mana_percentage"	"к максимальной мане"			// $max_mana_percentage
		//"dota_ability_variable_damage_int_hero"	"к урону (у героев интеллекта)" // $damage_int_hero
		//"dota_ability_variable_damage_agi_hero"	"к урону (у героев ловкости)" // $damage_agi_hero
		//"dota_ability_variable_damage_str_hero"	"к урону (у героев силы)" // $damage_str_hero

		"DOTA_ability_variable_max_health_regen"										"макс. здоровья в секунду"			// $max_health_regen
		"DOTA_ability_variable_hp_regen_amp"											"к здоровью от восстановления и вампиризма"			// $hp_regen_amp
		"DOTA_ability_variable_status_resistance"										"к сопротивлению эффекта"			// $status_resistance
		"DOTA_ability_variable_spell_amp"												"к урону от заклинаний"			// $spell_amp
		"DOTA_ability_variable_spell_lifesteal_amp"										"к усилению вампиризма от заклинаний"			// $spell_lifesteal_amp
		"DOTA_ability_variable_mana_regen_amp"											"к усилению восстановления маны"			// $mana_regen_amp

		"DOTA_Tooltip_ability_goliath_smash_attack"										"Smash Attack"
		"DOTA_Tooltip_ability_goliath_smash_attack_Description"							"Наносит сокрушительный удар по врагу."
		"DOTA_Tooltip_ability_goliath_smash_attack_attack_damage"						"УРОН:"

		"DOTA_Tooltip_ability_goliath_fire_breath"										"Fire Breath"
		"DOTA_Tooltip_ability_goliath_fire_breath_Description"							"Монстр выпускает несколько струй пламени, которые наносят урон и накладывают на цели эффект горения. Горение наносит дополнительный урон с течением времени."
		"DOTA_Tooltip_ability_goliath_fire_breath_damage"								"УРОН ОТ ПОПАДАНИЯ:"
		"DOTA_Tooltip_ability_goliath_fire_breath_damage_per_second"					"УРОН ОТ ГОРЕНИЯ:"
		"DOTA_Tooltip_ability_goliath_fire_breath_count_uses"							"КОЛЛИЧЕСТВО СТРУЙ ПЛАМЕНИ:"

		"DOTA_Tooltip_ability_goliath_leap_smash"										"Leap Smash"
		"DOTA_Tooltip_ability_goliath_leap_smash_Description"							"Монстр совершает мощный прыжок в указанное место, при приземлении создавая ударную волну, которая наносит урон всем врагам в радиусе."
		"DOTA_Tooltip_ability_goliath_leap_smash_damage"								"УРОН:"

		"DOTA_Tooltip_ability_primal_beast_onslaught"                               	"Charge"
        "DOTA_Tooltip_ability_primal_beast_onslaught_Description"                   	"Монстр разгоняется и бежит в выбранном направлении, отталкивая врагов. При столкновении с противниками наносит им урон и оглушает их. Чем дольше подготавливался разгон, тем дальше пробежит монстр."
        "DOTA_Tooltip_ability_primal_beast_onslaught_Lore"                  			""
        "DOTA_Tooltip_ability_primal_beast_onslaught_charge_speed"                  	"СКОРОСТЬ БЕГА:"
        "DOTA_Tooltip_ability_primal_beast_onslaught_max_charge_time"               	"ВРЕМЯ ДО МАКС. РАЗГОНА:"
        "DOTA_Tooltip_ability_primal_beast_onslaught_max_distance"                  	"МАКС. ДАЛЬНОСТЬ:"
        "DOTA_Tooltip_ability_primal_beast_onslaught_knockback_damage"              	"УРОН:"
        "DOTA_Tooltip_ability_primal_beast_onslaught_stun_duration"                 	"ДЛИТЕЛЬНОСТЬ ОГЛУШЕНИЯ:"

		"DOTA_Tooltip_ability_primal_beast_rock_throw"                              	"Rock Throw"
        "DOTA_Tooltip_ability_primal_beast_rock_throw_Description"                  	"Монстр бросает в указанную точку камень, который оглушает врагов и наносит им урон. После приземления камень разбивается на 3 осколка, которые падают за указанную точку. У броска есть минимальная дальность."
        
		"DOTA_Tooltip_ability_tinker_shield_projector"									"Shield Projector"
		"DOTA_Tooltip_ability_tinker_shield_projector_Description"						"Герой выбирает одного из товарищей по команде и накладывает щит."
		"DOTA_Tooltip_ability_tinker_shield_projector_shield_capacity_max"				"МАКС. ПРОЧНОСТЬ ЩИТА:"
		"DOTA_Tooltip_ability_tinker_shield_projector_shild_regen_per_second"			"ЗАРЯДКА ЩИТА В СЕК:"

		"DOTA_Tooltip_ability_tinker_orbital_barrage"									"Orbital Barrage"
		"DOTA_Tooltip_ability_tinker_orbital_barrage_Description"						"Герой вызывает дождь из взрывных снарядов, падающих на указанную область."
		"DOTA_Tooltip_ability_tinker_orbital_barrage_min_damage"						"МИН. УРОН:"
		"DOTA_Tooltip_ability_tinker_orbital_barrage_max_damage"						"МАКС. УРОН:"
		"DOTA_Tooltip_ability_tinker_orbital_barrage_count_explosions"					"КОЛЛИЧЕСТВО ВЗРЫВОВ:"
		"DOTA_Tooltip_ability_tinker_orbital_barrage_radius_explosions"					"РАДИУС ВЗРЫВОВ:"

		"DOTA_Tooltip_ability_shield_burst"												"Shield Burst"
		"DOTA_Tooltip_ability_shield_burst_Description"									"Герой накладывает щит на всех союзников в зоне действия."
		"DOTA_Tooltip_ability_shield_burst_other_shield_capacity"						"ПРОЧНОСТЬ ЩИТА СОЮЗНИКОВ:"
		"DOTA_Tooltip_ability_shield_burst_self_shield_capacity"						"ПРОЧНОСТЬ ЩИТА СЕБЕ:"
		"DOTA_Tooltip_ability_shield_burst_decay_rate"									"ПОТЕРЯ ПРОЧНОСТИ В СЕКУНДУ:"

		"DOTA_Tooltip_ability_planetary_shield"											"Planetary Shield"
		"DOTA_Tooltip_ability_planetary_shield_Description"								"Герой развертывает купол, который запрещает выходить и входить в него всем существам, а так же дает безпрепятсвенный обзор в нутри него."
		"DOTA_Tooltip_ability_planetary_shield_duration"								"ДЛИТЕЛЬНОСТЬ:"

		"DOTA_Tooltip_ability_rattletrap_harpoon_gun"									"Harpoon Gun"
		"DOTA_Tooltip_ability_rattletrap_harpoon_gun_Description"						"Герой связывает себя и цель цепью нанося ей урон не давая далеко уйти притягивая к себе. <br> Монстр тянет героя с большей силой."
		"DOTA_Tooltip_ability_rattletrap_harpoon_gun_damage"							"УРОН ОТ ПОПАДАНИЯ:"
		"DOTA_Tooltip_ability_rattletrap_harpoon_gun_duration"							"ДЛИТЕЛЬНОСТЬ:"
		"DOTA_Tooltip_ability_rattletrap_harpoon_gun_max_radius_chain"					"МАКС. ДЛИНА ЦЕПИ:"

		"DOTA_Tooltip_ability_rattletrap_sound_spikes"									"Sound Spikes"
		"DOTA_Tooltip_ability_rattletrap_sound_spikes_Description"						"Герой размещает звуковую ловушку, при приближении монстра ловушка активируется, нанесет урон и оповестит героев маяком на карте. <br> Ловушка может быть деактевированна."
