"DOTAHeroes"
{
	"npc_dota_hero_axe"
	{
		// General
		//-------------------------------------------------------------------------------------------------------------
		"override_hero"	"npc_dota_hero_axe"
		// Abilities
		//-------------------------------------------------------------------------------------------------------------
		"Ability1"		"axe_berserkers_call_custom"
		"Ability2"		"axe_battle_hunger_custom"
		"Ability3"		"axe_counter_helix_custom"
		"Ability4"		"generic_hidden"
		"Ability5"		"generic_hidden"
		"Ability6"		"axe_culling_blade_custom"
		"Ability10"		"talent_axe_culling_blade_bonus_multiplier"
		"Ability11"		"talent_axe_berserkers_call_bonus_armor"
		"Ability12"		"talent_axe_culling_blade_strength_and_armor"
		"Ability13"		"talent_axe_counter_helix_bonus_multiplier"
		"Ability14"		"talent_axe_battle_hunger_damage_reduction"
		"Ability15"		"talent_axe_counter_helix_your_attacks"
		"Ability16"		"talent_axe_battle_hunger_passive"
		"Ability17"		"talent_axe_berserkers_call_passive"
		// Armor
		//-------------------------------------------------------------------------------------------------------------
		"ArmorPhysical"	"-1"
		// Attack
		//-------------------------------------------------------------------------------------------------------------
		"AttackCapabilities"	"DOTA_UNIT_CAP_MELEE_ATTACK"
		"AttackDamageMin"	"27"
		"AttackDamageMax"	"31"
		"AttackRate"	"1.7"
		"AttackAnimationPoint"	"0.4"
		"AttackAcquisitionRange"	"600"
		"AttackRange"	"150"
		// Attributes
		//-------------------------------------------------------------------------------------------------------------
		"AttributePrimary"	"DOTA_ATTRIBUTE_STRENGTH"
		"AttributeBaseStrength"	"25"
		"AttributeStrengthGain"	"2.8"
		"AttributeBaseIntelligence"	"18"
		"AttributeIntelligenceGain"	"1.6"
		"AttributeBaseAgility"	"20"
		"AttributeAgilityGain"	"2"
		// Status
		//-------------------------------------------------------------------------------------------------------------
		"StatusHealthRegen"	"2.5"
		// Movement
		//-------------------------------------------------------------------------------------------------------------
		"MovementSpeed"	"310"
		// Vision
		//-------------------------------------------------------------------------------------------------------------
	}
}
