"DOTAHeroes"
{
	"npc_dota_hero_tiny"
	{
		// General
		//-------------------------------------------------------------------------------------------------------------
		"override_hero"							"npc_dota_hero_tiny"
		// Abilities
		//-------------------------------------------------------------------------------------------------------------
		"Ability1"		"tiny_avalanche"
		"Ability2"		"tiny_toss"
		"Ability3"		"tiny_tree_grab"
		"Ability4"		"tiny_tree_channel"
		"Ability5"		"generic_hidden"
		"Ability6"		"tiny_grow"
		"Ability7"		"tiny_toss_tree"
		"Ability10"		"talent_movement_speed_20"
		"Ability11"		"talent_bonus_agility_15"
		"Ability12"		"talent_attack_damage_65"
		"Ability13"		"special_bonus_unique_tiny"
		"Ability14"		"special_bonus_unique_tiny_7"
		"Ability15"		"special_bonus_unique_tiny_5"
		"Ability16"		"special_bonus_unique_tiny_3"
		"Ability17"		"special_bonus_unique_tiny_2"
		// Armor
		//-------------------------------------------------------------------------------------------------------------
		"ArmorPhysical"							"0"
		// Attack
		//-------------------------------------------------------------------------------------------------------------
		"AttackCapabilities"					"DOTA_UNIT_CAP_MELEE_ATTACK"
		"AttackDamageMin"						"31"
		"AttackDamageMax"						"37"
		"AttackRate"							"1.7"
		"BaseAttackSpeed"						"90"
		"AttackAnimationPoint"					"0.4"
		"AttackAcquisitionRange"				"600"
		"AttackRange"							"150"
		"ProjectileSpeed"						"0"
		// Attributes
		//-------------------------------------------------------------------------------------------------------------
		"AttributePrimary"						"DOTA_ATTRIBUTE_STRENGTH"
		"AttributeBaseStrength"		"30"
		"AttributeStrengthGain"		"4.000000"
		"AttributeBaseIntelligence"		"17"
		"AttributeIntelligenceGain"		"2.200000"
		"AttributeBaseAgility"		"0"
		"AttributeAgilityGain"		"0.00000"
		// Status
		//-------------------------------------------------------------------------------------------------------------
		"StatusHealthRegen"						"1.5"
		// Movement
		//-------------------------------------------------------------------------------------------------------------
		"MovementSpeed"							"285"
		"MovementTurnRate"						"0.7"
	}
}
